Map level of detail,Crime Category,Totals and new cats,First aggragation,Incidents values,Date,Crime category selection,Station
Norkempark,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,52,01/01/2023,Total contact crime,NORKEMPARK
Katlehong,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,55,01/01/2023,Total contact crime,KATLEHONG
Langlaagte,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,39,01/01/2023,Total contact crime,LANGLAAGTE
Norwood,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,30,01/01/2023,Total contact crime,NORWOOD
Kwa Thema,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,35,01/01/2023,Total contact crime,KWA THEMA
Orlando,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,49,01/01/2023,Total contact crime,ORLANDO
Kliptown,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,26,01/01/2023,Total contact crime,KLIPTOWN
Khutsong,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,21,01/01/2023,Total contact crime,KHUTSONG
Jhb Central,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,29,01/01/2023,Total contact crime,JHB CENTRAL
Olifantsfontein,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,11,01/01/2023,Total contact crime,OLIFANTSFONTEIN
Nigel,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,7,01/01/2023,Total contact crime,NIGEL
Laudium,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,36,01/01/2023,Total contact crime,LAUDIUM
Kliprivier,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,13,01/01/2023,Total contact crime,KLIPRIVIER
Katlehong North,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,18,01/01/2023,Total contact crime,KATLEHONG NORTH
Naledi,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,24,01/01/2023,Total contact crime,NALEDI
Kameeldrift,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,17,01/01/2023,Total contact crime,KAMEELDRIFT
Or Tambo Intern Airp,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,OR TAMBO INTERN AIRP
Ivory Park,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,131,01/01/2023,Total contact crime,IVORY PARK
Sandton,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,111,01/01/2023,Total contact crime,SANDTON
Roodepoort,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,156,01/01/2023,Total contact crime,ROODEPOORT
Vereeniging,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,82,01/01/2023,Total contact crime,VEREENIGING
Soshanguve,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,107,01/01/2023,Total contact crime,SOSHANGUVE
Vanderbijlpark,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,86,01/01/2023,Total contact crime,VANDERBIJLPARK
Rietgat,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,108,01/01/2023,Total contact crime,RIETGAT
Randfontein,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,149,01/01/2023,Total contact crime,RANDFONTEIN
Springs,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,135,01/01/2023,Total contact crime,SPRINGS
Randburg,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,42,01/01/2023,Total contact crime,RANDBURG
Wierdabrug,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,81,01/01/2023,Total contact crime,WIERDABRUG
Protea,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,68,01/01/2023,Total contact crime,PROTEA
Pretoria West,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,78,01/01/2023,Total contact crime,PRETORIA WEST
Silverton,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,36,01/01/2023,Total contact crime,SILVERTON
Sophia Town,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,57,01/01/2023,Total contact crime,SOPHIA TOWN
Sandringham,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,64,01/01/2023,Total contact crime,SANDRINGHAM
Pretoria North,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,42,01/01/2023,Total contact crime,PRETORIA NORTH
Rabie Ridge,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,55,01/01/2023,Total contact crime,RABIE RIDGE
Westonaria,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,49,01/01/2023,Total contact crime,WESTONARIA
Vosloorus,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,68,01/01/2023,Total contact crime,VOSLOORUS
Putfontein,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,58,01/01/2023,Total contact crime,PUTFONTEIN
Yeoville,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,28,01/01/2023,Total contact crime,YEOVILLE
Sinoville,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,16,01/01/2023,Total contact crime,SINOVILLE
Primrose,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,55,01/01/2023,Total contact crime,PRIMROSE
Sebenza,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,19,01/01/2023,Total contact crime,SEBENZA
Sebokeng,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,44,01/01/2023,Total contact crime,SEBOKENG
Jabulani,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,27,01/01/2023,Total contact crime,JABULANI
Villieria,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,24,01/01/2023,Total contact crime,VILLIERIA
Zonkizizwe,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,11,01/01/2023,Total contact crime,ZONKIZIZWE
Ratanda,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,9,01/01/2023,Total contact crime,RATANDA
Reigerpark,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,9,01/01/2023,Total contact crime,REIGERPARK
Welbekend,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,15,01/01/2023,Total contact crime,WELBEKEND
Rosebank,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,14,01/01/2023,Total contact crime,ROSEBANK
Pretoria Moot,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,14,01/01/2023,Total contact crime,PRETORIA MOOT
Sharpeville,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,11,01/01/2023,Total contact crime,SHARPEVILLE
Wonderboompoort,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,9,01/01/2023,Total contact crime,WONDERBOOMPOORT
Wedela,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,12,01/01/2023,Total contact crime,WEDELA
Pretoria Central,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,3,01/01/2023,Total contact crime,PRETORIA CENTRAL
Vaal Marina,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,2,01/01/2023,Total contact crime,VAAL MARINA
Alexandra,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,808,01/01/2023,Total contact crime,ALEXANDRA
Mamelodi East,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,657,01/01/2023,Total contact crime,MAMELODI EAST
Akasia,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,496,01/01/2023,Total contact crime,AKASIA
Moroka,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,604,01/01/2023,Total contact crime,MOROKA
Meadowlands,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,461,01/01/2023,Total contact crime,MEADOWLANDS
Booysens,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,274,01/01/2023,Total contact crime,BOOYSENS
Mabopane,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,288,01/01/2023,Total contact crime,MABOPANE
Bronkhorstspruit,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,237,01/01/2023,Total contact crime,BRONKHORSTSPRUIT
Bekkersdal,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,282,01/01/2023,Total contact crime,BEKKERSDAL
Atteridgeville,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,334,01/01/2023,Total contact crime,ATTERIDGEVILLE
Benoni,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,259,01/01/2023,Total contact crime,BENONI
Brixton,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,253,01/01/2023,Total contact crime,BRIXTON
Moffatview,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,178,01/01/2023,Total contact crime,MOFFATVIEW
Mamelodi,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,183,01/01/2023,Total contact crime,MAMELODI
Alberton,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,173,01/01/2023,Total contact crime,ALBERTON
Bramley,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,181,01/01/2023,Total contact crime,BRAMLEY
Actonville,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,172,01/01/2023,Total contact crime,ACTONVILLE
Boksburg North,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,118,01/01/2023,Total contact crime,BOKSBURG NORTH
Mondeor,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,147,01/01/2023,Total contact crime,MONDEOR
Boksburg,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,146,01/01/2023,Total contact crime,BOKSBURG
Boschkop,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,115,01/01/2023,Total contact crime,BOSCHKOP
Meyerton,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,109,01/01/2023,Total contact crime,MEYERTON
Midrand,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,62,01/01/2023,Total contact crime,MIDRAND
Brakpan,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,112,01/01/2023,Total contact crime,BRAKPAN
Boipatong,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,71,01/01/2023,Total contact crime,BOIPATONG
Lyttelton,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,68,01/01/2023,Total contact crime,LYTTELTON
Magaliesburg,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,67,01/01/2023,Total contact crime,MAGALIESBURG
Bedfordview,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,52,01/01/2023,Total contact crime,BEDFORDVIEW
Brackendowns,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,85,01/01/2023,Total contact crime,BRACKENDOWNS
Brooklyn,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,45,01/01/2023,Total contact crime,BROOKLYN
Diepsloot,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,758,01/01/2023,Total contact crime,DIEPSLOOT
Hillbrow,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,575,01/01/2023,Total contact crime,HILLBROW
Etwatwa,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,678,01/01/2023,Total contact crime,ETWATWA
Eldorado Park,Assault with the intent to inflict grievous bodily harm,Total contact crime,Assault with the intent to inflict grievous bodily harm,545,01/01/2023,Total contact crime,ELDORADO PARK
